topyoutube
Artist,Total Views
Fall Out Boy,"2,572.4"
Zé Felipe,"2,553.0"
Robin Schulz,"2,552.6"
Oasis,"2,538.5"
Franco De Vita,"2,537.4"
5 Seconds of Summer,"2,537.0"
YNW Melly,"2,534.2"
Swedish House Mafia,"2,525.6"
Luke Combs,"2,522.2"
Westlife,"2,515.0"
Anne-Marie,"2,514.7"
Ferrugem,"2,511.5"
Jon Z,"2,505.3"
Gloria Trevi,"2,501.3"
Mustafa Ceceli,"2,495.0"
Mamamoo,"2,494.4"
Turma do Pagode,"2,482.8"
Ava Max,"2,479.7"
David Bisbal,"2,450.6"
R. Kelly,"2,449.0"
Felipe Araújo,"2,433.9"
Jay Wheeler,"2,433.5"
Tarkan,"2,430.8"
The Pussycat Dolls,"2,429.5"
Dhvani Bhanushali,"2,403.5"
Polo G,"2,402.3"
Foo Fighters,"2,397.0"
Calum Scott,"2,396.7"
Lukas Graham,"2,395.4"
Trey Songz,"2,390.5"
Miyagi,"2,384.7"
Mau y Ricky,"2,375.8"
Kelly Clarkson,"2,374.7"
Selena,"2,362.7"
Koray Avcı,"2,353.9"
Gera MX,"2,349.8"
Carla Morrison,"2,333.7"
George Michael,"2,330.8"
Sean Kingston,"2,327.0"
Muse,"2,326.4"
Luke Bryan,"2,321.2"
Leningrad,"2,309.3"
Super Junior,"2,295.4"
De La Ghetto,"2,271.5"
YG,"2,265.6"
Roddy Ricch,"2,262.9"
Avenged Sevenfold,"2,262.8"
Carly Rae Jepsen,"2,255.9"
Elton John,"2,250.2"
iKON,"2,247.1"
Alka Yagnik,"2,241.6"
J. Cole,"2,241.4"
Snoop Dogg,"2,233.7"
Rita Ora,"2,229.9"
Disturbed,"2,216.7"
Desiigner,"2,215.5"
Tones and I,"2,212.6"
Gotye,"2,205.0"
Zé Vaqueiro,"2,203.1"
a-ha,"2,202.9"
Diego & Victor Hugo,"2,200.2"
A Boogie wit da Hoodie,"2,191.1"
Logic,"2,184.2"
Juanes,"2,177.1"
Projota,"2,175.8"
Kendji Girac,"2,175.6"
2NE1,"2,166.1"
Piccolo Coro dell'Antoniano,"2,154.6"
Lunay,"2,144.2"
Lil Dicky,"2,138.0"
Rod Stewart,"2,136.7"
Rag'n'Bone Man,"2,131.8"
U2,"2,130.8"
Megan Thee Stallion,"2,129.4"
Hassan Shakosh,"2,121.7"
Tove Lo,"2,116.0"
K-ICM,"2,115.8"
MC Pedrinho,"2,114.4"
Sorriso Maroto,"2,095.7"
The Script,"2,091.4"
Danna Paola,"2,090.3"
Mike Posner,"2,080.0"
Ke$ha,"2,078.3"
Silentó,"2,059.3"
MC Fioti,"2,058.8"
Himesh Reshammiya,"2,052.2"
Amy Winehouse,"2,049.1"
MC Kekel,"2,048.2"
ITZY,"2,035.1"
Tory Lanez,"2,033.1"
Shreya Ghoshal,"2,032.5"
Michel Teló,"2,028.0"
Kane Brown,"2,027.9"
Capital Bra,"2,015.6"
Tierry,"2,015.5"
Zack Knight,"2,014.3"
Andrea Bocelli,"2,013.5"
Nelly Furtado,"2,011.5"
Pabllo Vittar,"1,999.1"
Andra,"1,998.5"
MC Davo,"1,996.0"
Olivia Rodrigo,"1,995.7"
Joey Montana,"1,989.9"
Lorde,"1,989.8"
Eduardo Costa,"1,985.2"
AKB48,"1,984.4"
Skillet,"1,983.4"
Indila,"1,982.0"
Darshan Raval,"1,973.4"
Lucas Lucco,"1,972.6"
YOUNGOHM,"1,969.0"
The Killers,"1,962.1"
blink-182,"1,962.0"
Big Sean,"1,959.9"
Lartiste,"1,954.5"
Cocktail,"1,947.4"
JoJo Siwa,"1,941.6"
Jason Mraz,"1,934.7"
Jessi Uribe,"1,932.0"
Kid Ink,"1,930.9"
Cyndi Lauper,"1,930.7"
Timati,"1,928.6"
Hala Al Turk,"1,923.4"
Laura Pausini,"1,922.2"
Shania Twain,"1,919.2"
Luciano Pereyra,"1,912.0"
Michael Bublé,"1,909.6"
Timbaland,"1,904.9"
Fergie,"1,899.0"
Juan Magan,"1,898.2"
Mohamed Alsalim,"1,897.8"
Banda El Recodo De Cruz Lizárraga,"1,895.6"
Natalia Lafourcade,"1,893.9"
Depeche Mode,"1,890.8"
Balti,"1,890.4"
Imran Khan,"1,888.6"
Alvaro Soler,"1,886.6"
